clip_id,transcript,human_label,notes
clip_0260,1.1% in the total world exports. Sri Lankan producers follow us.,,
clip_0261,most stringent quality standards to certification by world renowned,,
clip_0262,agencies as well as SLSI like Sanctuary and FibroSanctuary,,
clip_0263,"regulation under WTU, current and standard stipulated by the importing",,
clip_0264,"countries and private quality levelling system, Global Gap, MPS, MPS, MPS, MPS, MPS, MPS,",,
clip_0265,FFP. International buyers of floriculture can count on support from EDB for the,,
clip_0267,provision of any information on Sri Lankan suppliers as well as any other kind of measurement.,,
clip_0268,international trade fairs and can always reach us at www.,,
clip_0269,"And it has shown a remarkable growth. Today, the industry is comprised of about 40,000",,
clip_0270,climatic variation and diverse topography of Sri Lanka.,,
clip_0271,enables the farmers to cultivate a range of trade-offs from tropical to temperate.,,
clip_0272,standards to also available with the large producer and exporter.,,
clip_0273,"assortment consists of ornamental foliage plants, cut decorative leaves, cut flowers,",,
clip_0274,most popular tropical cut flowers which are being grown commercial for export.,,
clip_0275,making all logistical support. You are kindly to find us at the Sri Lankan Pavilion of the,,
clip_0276,sector and the climate impact. Since ours is a small country.,,
clip_0277,A slight change in the environment will have significant impact on the environment.,,
clip_0278,"on the ground in topography and climate. Then, as explained earlier, our agriculture...",,
clip_0279,"which is predominantly substance, subsistence and whole.",,
clip_0280,crop farming systems. Even now we have shifting agriculture that is a generous system.,,
clip_0281,So there is no guarantee of price for the producer.,,
clip_0282,"the informal sector, almost 91% of the agriculture workers are informal.",,
clip_0283,That means the employment is seasonal because they don't own the land.,,
clip_0284,and there is no crop insurance or policy in terms of social safety net.,,
clip_0285,And then the government policies is one of the key areas that has had a significant impact.,,
clip_0286,impact on agriculture. Most of the deficiencies in agriculture...,,
clip_0287,"of follies created by us, which could have easily been avoided. I have to...",,
clip_0288,point out the position of first man in life was...,,
clip_0289,"set in 2015, turns for not only the exp...",,
clip_0290,agriculture crops but also in the paddy sector because paddy farmers and maize,,
clip_0291,farmers didn't have the glyphosate for wheat management and you can see that the country had...,,
clip_0292,"to import rice and of course the latest that everybody knows, the ban on fertilizers.",,
clip_0293,"at VD sites and fungicides, already we see a decline of 20%.",,
clip_0294,percent in export drops such as tape and rubber we have had a drop of what,,
clip_0295,And I am sure that paddy harvest also will be impacted to us.,,
clip_0296,significant amount because of these inputs that have not gone in the appropriate time.,,
clip_0297,have long term erosible,,
clip_0298,Then other features of the sectors. I think this was discussed,,
clip_0299,"The multiplicity of state agencies and ministries, at one time I recall for the...",,
clip_0300,"We had about nine ministries, one for cashew, one for sugarcane, one for tea.",,
clip_0301,"one for JDB, so this is one of the salient aspects of our industry.",,
clip_0302,Then we have complex administrative and land governance systems.,,
clip_0303,"operational land loss, limiting flexibility, information system.",,
clip_0304,market and the farmer at the ground level doesn't know.,,
clip_0305,I think we have all read about clots of vegetables at one time.,,
clip_0306,allow it to rot and farmers committing suicide that is because our system is not,,
clip_0307,"to give the right information, market information to the growers on the ground, then we have",,
clip_0308,"We have four infrastructure facilities for transport and storage, then we have Plethorov.",,
clip_0309,most excessive regulations and controls and laws.,,
clip_0310,drawn out approved protocols and some very archaic laws.,,
clip_0311,"of agriculture, timing is everything. You need to do certain things at a certain time.",,
clip_0312,"And if you do not do it at that time, then that exercise is useless.",,
clip_0313,of examples of all these bureaucracy and the delays it entails.,,
clip_0314,Of course we have archaic labour laws as explained earlier and people don't like to...,,
clip_0315,to employ or engage regular workers in agriculture because agriculture has its season.,,
clip_0316,functionality features of them then there are some times,,
clip_0317,of the year that you have to have less work but our labour laws do not commit such a flexibility.,,
clip_0318,"then political will to make unpopular decisions, classic case.",,
clip_0319,"the oil path. There is much debate, but science has proved that it is not detrimental.",,
clip_0320,the soil if properly cultivated. It's a very very valuable crash drop.,,
clip_0321,At least 1 million rupees profit as opposed to rubber that you have to run it at a loss,,
clip_0322,"So when you have profits, the industry and the people engage, and it prospers.",,
clip_0323,policy makers have to take. Accelerator...,,
clip_0324,"outmigration of skilled and talented people from the industry, most of the farm",,
clip_0325,"outage, age of farmers...",,
clip_0326,has gone up to about 55 years according to statistics that means,,
clip_0327,Young people are not coming in power. The older people are remaining,,
clip_0328,"age group of 19 to 24, less than 1% in agriculture.",,
clip_0329,That means agriculture is definitely not an attractive proposition for them. So that is the most...,,
clip_0330,"productive and that's the age people can put their labour, because agriculture...",,
clip_0331,"a very labor-intensive job, but you can see that there is no attraction in agriculture for youngsters.",,
clip_0332,"then of course low status, societal acceptance and dignity for agriculture work.",,
clip_0333,We understand that no farmer's son or no one will want...,,
clip_0334,to continue as a farmer or even a tea or a way state tapper would not want the children to,,
clip_0335,"So, we need to change and introduce different working models.",,
clip_0336,to make the farming or agricultural work attractive to the people engaged in those,,
clip_0337,"areas, then we have commoditization of the product.",,
clip_0338,That is one important reason why agriculture has not taken off. Look at the case of...,,
clip_0339,a hundred and fifty years of our country.,,
clip_0340,"Even now, we are sending only 10% in a value-added form.",,
clip_0341,it value-added but it's boxes and bags. I don't believe that it's real value-addition.,,
clip_0342,The control of the retail is very much evident.,,
clip_0343,and only send 10% as...,,
clip_0344,value added for. So then our product range and quality has to diversify.,,
clip_0345,the institutional support for research and development...,,
clip_0346,extension and research. So I'm not going to go through that. I think this will be in the conference.,,
clip_0347,proceedings so very quickly I want to just touch on way forward because of,,
clip_0348,"in terms of time, in terms of the land that the government is holding.",,
clip_0349,"They had to let it go in a scientific, methodical manner. How they can do it?",,
clip_0350,that is to have a non-partisan expert tunnel to advise and set,,
clip_0351,permanent policy on agriculture.,,
clip_0352,"in agriculture. They should not, it is not only the business of business which is not the business of agriculture.",,
clip_0353,"business of government. National land policy, GIS mapping, I say GIS mapping in",,
clip_0354,"In Korea, they have mapped every acre or even smaller and identify the soil and the...",,
clip_0355,ecosystem there and recommended plants and crops that can be grown so we also can adapt,,
clip_0356,"Then centralised agriculture related ministries, consistency and...",,
clip_0357,"policy, liberalise land tenure, free up land held by the state, and concert...",,
clip_0358,"the small holdings and support research, use state resources.",,
clip_0359,Surely we can use our resources and clear a lot of available agriculture lands and have agriculture...,,
clip_0360,such as zones like the BOI and give 100 hectares or 200 hectares for willing,,
clip_0361,"companies to start agriculture in the dry zone, we have enough water facilities and",,
clip_0362,"irrigation facilities, encourage wider technology, level playing field.",,
clip_0363,"for the producer giving fair value, correct the information asymmetry and have...",,
clip_0364,supportive infrastructure and all this will encourage external investments in,,
clip_0365,commercial agriculture. So I will.,,
clip_0366,"I have some more points, I'm sure this is all very...",,
clip_0367,"quickly digital inventory, land suitability and land utilization plans.",,
clip_0368,"equitable land use policies, provide stimulus. Now, this is very important if you are going...",,
clip_0369,agriculture like what the government did when the coffee industry was decimated.,,
clip_0370,than tea came in they provided so much of stimulus to promote tea so likewise we'll have to,,
clip_0371,provide lot of stimulus to expand our agriculture with.,,
clip_0372,"different crops to be grown, whether at forecasting and",,
clip_0373,early warning systems and another important thing is stop illogical expropriation.,,
clip_0374,of land. We have many cases where productive crop-bearing land have been taken over.,,
clip_0375,"by the government and allowed to go to Rack and Grain. Then finally, degradation in...",,
clip_0376,and land use must be stopped and monitor agriculture land.,,
clip_0377,"fragmentation, scarcity and conversion of agriculture land to other uses.",,
clip_0378,"So ladies and gentlemen, I am going to finish now. We need to change the perspective.",,
clip_0379,"enough time arguing whether agriculture is good or bad, there is a definite potential",,
clip_0380,for improvement of our agriculture sector if we can take the right policies.,,
clip_0381,and we need to look at agriculture as something positive and not something that is,,
clip_0382,"There is potential, the people, the culture, the history.",,
clip_0383,and we have people experience in agriculture to turn around the agriculture sector.,,
clip_0384,"So, despite all the ups and downs in agriculture, one product has kept...",,
clip_0385,Sri Lanka's agriculture in the forefront. I'm talking about Ceylon tea for 100.,,
clip_0386,and 50 years it has been a global brand and it's still...,,
clip_0387,"Again, you can see the concentration of those crops.",,
clip_0388,"not mainly in the dry zone, but in the central, western Sabaragamur.",,
clip_0389,areas. So why is agriculture important for Sri Lanka?,,
clip_0390,"Now, number one, it is very important for our food safety.",,
clip_0391,"Before the pre-pandemic period, we had 90%...",,
clip_0392,"security. Of course, we don't know the latest figures now, and again...",,
clip_0393,"is important for nutrition and health. We have 2,030 kilocalories.",,
clip_0394,national average and it is well within the recommended rates by the medical,,
clip_0395,"Research Institute, although other South Asian countries have a higher...",,
clip_0396,kilo calorie intake than Sri Lanka. That is important for our national sovereignty.,,
clip_0397,"If you are secure in our foot and we can feed ourselves, we don't have to...",,
clip_0398,be indebted and go on our vendor needs to other countries to ensure our food supply.,,
clip_0399,"and then it provides social security, cohesion.",,
clip_0400,to the society. We have seen countries leading...,,
clip_0401,"food riots in the absence of food. So social security aspect, food is...",,
clip_0402,Very important that poverty alleviation as I mentioned earlier,,
clip_0403,27% of Sri Lankan population is rural based and agriculture is their main source of income.,,
clip_0404,source of income then for obviously for human well-being,,
clip_0405,"and longevity. Agriculture is important, and as...",,
clip_0406,"As I mentioned earlier, almost one quarter, almost 27 per cent of the people who have",,
clip_0407,"of our employed people are employed in agriculture directly, apart from the other.",,
clip_0408,other businesses that are connected to agriculture.,,
clip_0409,We need dollars and agriculture is a sure source of foreign aid.,,
clip_0410,"income, and more than anything, it provides for effective land use.",,
clip_0411,"So let's look at the country scenario. As some speaker mentioned, we have six points.",,
clip_0412,0.6 billion hectares of land and excluding the water bodies.,,
clip_0413,we have 6.3 million and agriculture land is 42% of...,,
clip_0414,the national land base and the central highlands has 14% of this land.,,
clip_0415,The important thing is 80-50% of country land.,,
clip_0416,and more than one third of the country's agricultural land is state owned.,,
clip_0417,We talk of the British colonialists taking over the land but,,
clip_0418,control for the land of this nation and we have almost 1.3 million states,,
clip_0419,"agriculture land compared with 880,000 privately owned agriculture land.",,
clip_0420,land or 42% of the agricultural land of that 40%,,
clip_0421,"implantation crops including key rubber coconut, then probably cinnamon, sugarcane",,
clip_0422,"and such and 28% of this agriculture land is in paddy, our staple crop.",,
clip_0423,that per capita land area is only one tenth of a hectare per person.,,
clip_0424,Decreasing very fast and land-to-man ratio is 0.3,,
clip_0425,one third of a hectare and temperature in the low country and the hill country is,,
clip_0426,ideal temperature for any crop growth. I think this is an advantage we in Sri Lanka have.,,
clip_0427,"Whether it's the wet zone or the dry zone, or even the low country, the hill country, we have...",,
clip_0428,"suitable temperature, and 64% of the land is in dry zone when it has",,
clip_0429,"I say that people might think that we are having a water shortage, but later on...",,
clip_0430,I can show you that even this is a surmountable issue.,,
clip_0431,"and 23% of our land is a wet zone, and of the land in the wet zone...",,
clip_0432,statistics provide that 50% of the land is already under cultivation.,,
clip_0433,"For example, Mahatma has close to 70% of...",,
clip_0434,"of the land situation, K gold at 4% and GAPA 6 to 3%.",,
clip_0435,"Dry soil, only 13% of the land is under cultivation.",,
clip_0436,"So, we have over 2000 millimeters of annual rainfall.",,
clip_0437,and we have a rural population of 77% as I mentioned earlier.,,
clip_0438,land use in only 6.8%. So other advantage for...,,
clip_0439,Sri Lanka to promote agriculture is that 63% of the population is in the,,
clip_0440,"that age group of 559 years, we are not a very old generation.",,
clip_0441,So there is a really full of labour coming in the future even to sustain that.,,
clip_0442,agriculture. And a significant feature in this agriculture I have heard...,,
clip_0443,"Sorry, I've heard many comments",,
clip_0444,"about the low productivity in agriculture, yes that is a fact.",,
clip_0445,river because 71% of the lands are below 1 hectare in Sri Lanka.,,
clip_0446,and 27% of the farmers are landless and 82%...,,
clip_0447,of the farmers or people involved in agriculture have less than two acres.,,
clip_0448,"involved in agriculture will know, with this kind of a small scale, you cannot have a",,
clip_0449,productive agriculture base. So if you look at the distribution of agricultural.,,
clip_0450,"land in the districts, you can see that six districts, Kaurayagal,",,
clip_0451,And now we're going to drop the bullet.,,
clip_0452,They cover 46% of the agricultural land in our country.,,
clip_0453,"And when you look at the population profile in matching to this, about four districts.",,
clip_0454,"that is central, southern, north-western province and western province.",,
clip_0455,I have 65% of our population. So this is how the spread of,,
clip_0456,of the land is and most of the arable area is available in...,,
clip_0457,"Unfortunately, in the dry areas like Vaunia, Manna, and Kilinochi, and Batticlo.",,
clip_0458,"If you look at the agriculture employment, out of the 8.4 million...",,
clip_0459,,,
clip_0460,"culture, that is 2.2 million people are employed directly.",,
clip_0461,"But unfortunately, as mentioned, our GDP contribution is only 7%.",,
clip_0462,"This is with 700,000 people engaged in coconut and forestry.",,
clip_0463,"250,000 T small holders. These are major foreign income earning...",,
clip_0464,and 2000 rubber small rollers.,,
clip_0465,The main feature of this is that our agriculture is subsistence scale.,,
clip_0466,and not large commercial scale agriculture in general.,,
clip_0467,of this agriculture.,,
clip_0468,Employment of 2.2 million. We have 1.2 million almost 50,,
clip_0469,percent owned account workers and contributing family workers and other 21,,
clip_0470,"percent. So when you combine both, on-account workers and the family workers",,
clip_0471,they constitute 70%,,
clip_0472,70% of the agricultural labor force and this is also,,
clip_0473,another issue in having commercial and productive agriculture.,,
clip_0474,,,
clip_0475,workers do not have guaranteed regular work.,,
clip_0476,They don't have regular salaries or statutory dues and other benefits and facilities.,,
clip_0478,of corporate sector workers.,,
clip_0479,workers engaged in tea and rubber plantations and out of the total population of,,
clip_0480,9.1 million people engaged in a,,
clip_0481,agriculture there are 2.6 million house loads that is all,,
clip_0482,"of 5.5 million households, almost 2.6 million households in Sri Lanka.",,
clip_0483,are engaged in agriculture. Now 66% of these households,,
clip_0484,"or less than two acres. So with this kind of a scenario, I think it's...",,
clip_0485,"It's not practical to look at large scale commercial agriculture, and they are in license.",,
clip_0486,solution that I think is a good point to convince the government to let go.,,
clip_0489,of the available agriculture land for commercial agriculture.,,
clip_0490,then researchers found that 56% of this agriculture...,,
clip_0491,"households, their highest share of income comes from...",,
clip_0492,"agriculture. So the balance, although they engage in agriculture, the balance for",,
clip_0493,"of the people, the highest share of income comes from employment outside agriculture.",,
clip_0494,So if you look at their wages and salaries...,,
clip_0495,"Sorry, sorry. The screen is not working. If you look at their wages and salaries, we find that...",,
clip_0496,"The main income for agriculture is 23,720.",,
clip_0497,"compared to the people engaged in industry almost 35,000",,
clip_0498,"and services at 43,000. So herein lies, it is.",,
clip_0499,"is not a very attractive sector to be in, because agriculture workers are earning...",,
clip_0500,less than half of those employed in services.,,
clip_0501,"If you look at the median income also, it's about 20,000 as opposed to 30,000.",,
clip_0502,"for people engaged in industry and about 38,000 for...",,
clip_0503,people engage the services. So this is one of the reasons that there is,,
clip_0504,There is no... people are not coming in adequate numbers to...,,
clip_0505,"agriculture, because agriculture is basically a daily wage based job.",,
clip_0506,"If you look at the median income of agriculture-based workers, it's only 16,000 rupees.",,
clip_0507,"compared to even 24,000 people in the industry. So this is a feature.",,
clip_0508,"of agriculture, and this is one of the reasons that agriculture is...",,
clip_0509,"It's not an attractive proposition in Sri Lanka. If you go to the agriculture holdings, it's clear.",,
clip_0510,really shows that almost 82% of the agriculture land is...,,
clip_0511,"classified as small holdings, meaning less than 20 acres, that's about 30 hectares.",,
clip_0512,But we have persisted with the system even after 150 years. It has an absolute grip.,,
clip_0513,and the balance 17% shown as a state sector is less.,,
clip_0514,"more than 20 acres, so most of the coconut plants would qualify.",,
clip_0515,under estate sector and any land perennial crop worth its name will have,,
clip_0516,definitely more than 20 percent.,,
clip_0517,holdings and extent has increased when you compare with 1982 to 2000,,
clip_0518,"you can see an increase, one of the reason is the population growth and...",,
clip_0519,cessation of the hostilities in the north and east and having the war in the people started,,
clip_0520,settling down and restarting the cultivation with all this.,,
clip_0521,"The picture clearly demonstrates that agriculture, although 27%...",,
clip_0522,tough off. People are engaged in it. Our contribution is very minimal. It's only 7%,,
clip_0523,"1 to 8 percent in the GANI, in the GDNI.",,
clip_0524,And if you look at the...,,
clip_0525,At the distribution you can see that service sector is providing 63% of the GDP.,,
