month,region,spice,temp_c,rainfall_mm,humidity_pct,monsoon_sw_flag,monsoon_ne_flag,qty_sold_kg_4w_ma,market_price_LKR_4w_ma,rainfall_mm_4w_ma,temp_c_4w_ma
11,0,0,26.74,52.6,61.1,0.0,0.0,628.625,3500.1175,41.275,26.165
11,0,0,26.49,38.9,67.7,0.0,0.0,639.325,3595.84,42.9,26.32
11,0,0,27.48,44.8,64.3,0.0,0.0,660.65,3669.95,44.35,26.795
11,0,0,27.12,44.5,66.0,0.0,0.0,627.75,3675.3925,45.2,26.9575
12,0,0,27.93,51.4,75.1,0.0,0.2,616.575,3655.785,44.9,27.255
12,0,0,28.34,59.9,69.9,0.0,0.2,592.675,3616.2675,50.15,27.7175
12,0,0,28.1,49.4,69.4,0.0,0.2,585.55,3604.68,51.3,27.8725
12,0,0,28.79,53.2,68.2,0.0,0.2,596.175,3620.845,53.475,28.29
12,0,0,29.49,48.0,69.1,0.0,0.2,582.875,3648.3225,52.625,28.68
1,0,0,29.95,47.6,77.2,0.0,0.2,580.475,3678.4725,49.55,29.0825
1,0,0,28.71,61.2,68.6,0.0,0.2,553.975,3695.9125,52.5,29.235
1,0,0,29.65,48.6,69.0,0.0,0.2,544.65,3704.3425,51.35,29.45
1,0,0,30.35,56.1,70.2,0.0,0.2,555.575,3692.1575,53.375,29.665
2,0,0,32.11,60.0,70.5,0.0,0.2,542.025,3687.105,56.475,30.205
2,0,0,30.83,51.1,73.7,0.0,0.2,545.875,3680.025,53.95,30.735
2,0,0,30.59,58.8,70.4,0.0,0.2,544.675,3662.5825,56.5,30.97
2,0,0,32.42,54.6,72.9,0.0,0.2,542.35,3647.12,56.125,31.4875
3,0,0,30.31,59.9,69.9,0.0,0.0,565.25,3617.5825,56.1,31.0375
3,0,0,30.28,50.6,70.7,0.0,0.0,585.275,3588.9925,55.975,30.9
3,0,0,31.57,35.2,58.9,0.0,0.0,584.0,3579.8275,50.075,31.145
3,0,0,29.91,24.8,69.4,0.0,0.0,601.525,3609.1375,42.625,30.5175
4,0,0,31.13,39.1,67.5,0.0,0.0,607.175,3680.3125,37.425,30.7225
4,0,0,30.8,49.6,70.3,0.0,0.0,635.775,3780.9725,37.175,30.8525
4,0,0,30.68,40.6,64.3,0.0,0.0,643.4,3880.5225,38.525,30.63
4,0,0,30.3,32.4,72.6,0.0,0.0,652.35,3947.59,40.425,30.7275
4,0,0,30.45,26.2,63.5,0.0,0.0,638.25,3956.69,37.2,30.5575
5,0,0,30.06,92.0,75.9,1.0,0.0,616.35,3912.6275,47.8,30.3725
5,0,0,30.42,72.3,74.5,1.0,0.0,615.725,3877.35,55.725,30.3075
5,0,0,28.95,78.2,65.1,1.0,0.0,588.0,3812.7225,67.175,29.97
5,0,0,28.74,67.2,71.0,1.0,0.0,604.7,3742.7175,77.425,29.5425
6,0,0,29.08,80.2,73.1,1.0,0.0,601.775,3702.455,74.475,29.2975
6,0,0,29.18,80.3,75.1,1.0,0.0,599.525,3651.6925,76.475,28.9875
6,0,0,28.16,74.8,71.7,1.0,0.0,605.275,3615.105,75.625,28.79
6,0,0,28.27,82.5,70.4,1.0,0.0,604.525,3600.7325,79.45,28.6725
7,0,0,27.08,93.1,69.6,1.0,0.0,600.9,3560.21,82.675,28.1725
7,0,0,27.3,90.8,65.0,1.0,0.0,600.2,3508.42,85.3,27.7025
7,0,0,27.35,71.7,68.7,1.0,0.0,591.525,3463.7,84.525,27.5
7,0,0,26.19,80.4,75.5,1.0,0.0,583.85,3432.1125,84.0,26.98
7,0,0,26.23,83.9,65.6,1.0,0.0,580.05,3420.1225,81.7,26.7675
8,0,0,25.33,70.2,62.1,1.0,0.0,592.675,3412.9325,76.55,26.275
8,0,0,25.62,84.4,73.5,1.0,0.0,605.95,3398.1625,79.725,25.8425
8,0,0,25.7,78.6,69.4,1.0,0.0,594.8,3381.7375,79.275,25.72
8,0,0,25.3,102.1,66.6,1.0,0.0,594.875,3371.18,83.825,25.4875
9,0,0,24.58,79.3,69.8,1.0,0.0,582.675,3366.525,86.1,25.3
9,0,0,24.49,85.8,72.0,1.0,0.0,565.625,3379.2725,86.45,25.0175
9,0,0,25.22,78.8,65.9,1.0,0.0,562.675,3392.3425,86.5,24.8975
9,0,0,25.44,87.9,69.2,1.0,0.0,549.75,3403.2625,82.95,24.9325
9,0,0,25.11,82.9,71.5,1.0,0.0,556.7,3393.34,83.85,25.065
10,0,0,25.8,28.5,67.6,0.0,0.0,573.425,3389.75,69.525,25.3925
10,0,0,24.43,31.3,61.0,0.0,0.0,607.95,3378.7275,57.65,25.195
10,0,0,25.47,42.5,64.0,0.0,0.0,643.675,3364.1025,46.3,25.2025
10,0,0,25.8,42.7,59.5,0.0,0.0,656.375,3402.6625,36.25,25.375
11,0,0,26.54,50.5,73.0,0.0,0.0,673.125,3452.71,41.75,25.56
11,0,0,26.12,42.2,67.5,0.0,0.0,656.475,3548.18,44.475,25.9825
11,0,0,26.42,40.5,65.3,0.0,0.0,648.55,3617.23,43.975,26.22
11,0,0,27.17,44.6,71.8,0.0,0.0,626.8,3635.4775,44.45,26.5625
12,0,0,27.49,48.3,60.8,0.0,0.2,593.325,3640.0775,43.9,26.8
12,0,0,28.03,55.5,66.8,0.0,0.2,587.475,3598.715,47.225,27.2775
12,0,0,27.51,56.7,70.8,0.0,0.2,575.45,3576.54,51.275,27.55
12,0,0,28.93,53.2,67.7,0.0,0.2,574.725,3575.86,53.425,27.99
12,0,0,28.98,49.3,70.1,0.0,0.2,585.175,3600.0725,53.675,28.3625
1,0,0,29.55,60.8,70.3,0.0,0.2,591.225,3617.08,55.0,28.7425
1,0,0,29.47,54.4,69.3,0.0,0.2,605.375,3643.1175,54.425,29.2325
1,0,0,29.6,65.0,67.0,0.0,0.2,598.55,3654.6,57.375,29.4
1,0,0,29.65,41.2,65.8,0.0,0.2,601.4,3622.6125,55.35,29.5675
2,0,0,30.93,47.7,73.6,0.0,0.2,584.65,3603.67,52.075,29.9125
2,0,0,29.6,50.1,67.2,0.0,0.2,571.5,3591.31,51.0,29.945
2,0,0,30.14,47.1,72.2,0.0,0.2,579.85,3590.055,46.525,30.08
2,0,0,30.62,45.9,63.7,0.0,0.2,586.3,3595.26,47.7,30.3225
3,0,0,30.51,49.8,62.7,0.0,0.0,585.2,3600.345,48.225,30.2175
3,0,0,31.51,43.6,73.9,0.0,0.0,572.725,3613.2125,46.6,30.695
3,0,0,30.95,50.2,68.1,0.0,0.0,572.175,3615.0175,47.375,30.8975
3,0,0,31.11,46.7,71.4,0.0,0.0,566.675,3667.6875,47.575,31.02
3,0,0,30.73,38.5,71.2,0.0,0.0,572.675,3740.705,44.75,31.075
4,0,0,31.21,36.0,71.6,0.0,0.0,609.6,3825.685,42.85,31.0
4,0,0,30.63,47.5,67.6,0.0,0.0,622.15,3931.4575,42.175,30.92
4,0,0,30.91,34.5,63.8,0.0,0.0,621.65,4008.54,39.125,30.87
4,0,0,29.85,32.5,61.7,0.0,0.0,619.925,4021.085,37.625,30.65
5,0,0,29.0,84.2,69.1,1.0,0.0,593.75,3992.6775,49.675,30.0975
5,0,0,30.38,82.4,75.2,1.0,0.0,593.2,3957.935,58.4,30.035
5,0,0,29.43,94.4,74.1,1.0,0.0,621.55,3869.1725,73.375,29.665
5,0,0,29.11,78.5,75.0,1.0,0.0,643.8,3810.445,84.875,29.48
6,0,0,28.39,68.8,66.0,1.0,0.0,643.125,3746.4725,81.025,29.3275
6,0,0,29.38,82.0,68.9,1.0,0.0,639.6,3669.6425,80.925,29.0775
6,0,0,27.67,73.7,73.6,1.0,0.0,609.3,3610.3125,75.75,28.6375
6,0,0,28.76,81.7,75.2,1.0,0.0,577.175,3566.72,76.55,28.55
6,0,0,26.54,88.1,65.2,1.0,0.0,586.85,3539.4325,81.375,28.0875
7,0,0,26.93,79.0,62.2,1.0,0.0,579.375,3516.2075,80.625,27.475
7,0,0,27.0,83.4,70.1,1.0,0.0,574.7,3508.1075,83.05,27.3075
7,0,0,25.52,82.8,71.8,1.0,0.0,594.275,3495.14,83.325,26.4975
7,0,0,25.66,81.9,71.5,1.0,0.0,577.375,3471.76,81.775,26.2775
8,0,0,25.33,77.9,63.1,1.0,0.0,591.2,3447.93,81.5,25.8775
8,0,0,26.35,89.4,76.8,1.0,0.0,586.25,3431.86,83.0,25.715
8,0,0,26.21,80.0,74.5,1.0,0.0,574.025,3416.6775,82.3,25.8875
8,0,0,24.87,77.3,68.9,1.0,0.0,574.125,3411.1725,81.15,25.69
8,0,0,24.56,85.4,69.5,1.0,0.0,543.2,3413.0575,83.025,25.4975
9,0,0,24.68,79.5,66.4,1.0,0.0,551.85,3398.625,80.55,25.08
9,0,0,25.29,88.2,68.6,1.0,0.0,554.35,3386.3975,82.6,24.85
9,0,0,24.79,74.7,72.5,1.0,0.0,560.125,3389.0225,81.95,24.83
9,0,0,24.96,84.5,67.1,1.0,0.0,574.825,3388.6925,81.725,24.93
10,0,0,24.84,23.9,62.6,0.0,0.0,587.8,3402.845,67.825,24.97
10,0,0,24.96,45.8,67.1,0.0,0.0,612.1,3429.8,57.225,24.8875
10,0,0,25.7,35.7,60.2,0.0,0.0,623.375,3443.2575,47.475,25.115
10,0,0,26.15,48.3,65.9,0.0,0.0,642.35,3493.4325,38.425,25.4125
11,0,0,27.0,41.1,65.7,0.0,0.0,641.175,3573.13,42.725,25.9525
11,0,0,26.06,44.3,62.3,0.0,0.0,628.95,3660.57,42.35,26.2275
11,0,0,26.27,31.7,62.1,0.0,0.0,615.45,3735.0625,41.35,26.37
11,0,0,26.97,39.2,73.8,0.0,0.0,604.175,3749.52,39.075,26.575
11,0,0,26.86,34.2,66.7,0.0,0.0,595.6,3725.9625,37.35,26.54
12,0,0,28.61,46.5,70.8,0.0,0.2,582.95,3669.035,37.9,27.1775
12,0,0,28.26,54.8,68.6,0.0,0.2,588.0,3630.5075,43.675,27.675
12,0,0,28.45,73.4,65.5,0.0,0.2,595.55,3601.825,52.225,28.045
12,0,0,28.15,54.1,68.5,0.0,0.2,604.95,3614.44,57.2,28.3675
1,0,0,29.79,35.2,66.0,0.0,0.2,595.075,3620.4975,54.375,28.6625
1,0,0,29.57,51.1,63.0,0.0,0.2,599.575,3627.4025,53.45,28.99
1,0,0,29.41,56.6,66.0,0.0,0.2,576.25,3639.535,49.25,29.23
1,0,0,28.93,56.7,70.2,0.0,0.2,544.275,3609.9175,49.9,29.425
2,0,0,29.99,38.8,69.6,0.0,0.2,539.425,3597.485,50.8,29.475
2,0,0,30.86,50.6,70.2,0.0,0.2,535.55,3590.7325,50.675,29.7975
2,0,0,30.53,55.2,72.1,0.0,0.2,545.675,3592.8175,50.325,30.0775
2,0,0,31.64,41.2,65.4,0.0,0.2,563.55,3602.6375,46.45,30.755
3,0,0,30.93,43.3,73.5,0.0,0.0,577.2,3607.9875,47.575,30.99
3,0,0,30.8,41.5,65.1,0.0,0.0,575.6,3611.075,45.3,30.975
3,0,0,30.65,31.4,64.7,0.0,0.0,580.5,3625.1625,39.35,31.005
3,0,0,30.59,38.2,59.7,0.0,0.0,591.725,3654.765,38.6,30.7425
3,0,0,30.63,37.1,67.5,0.0,0.0,599.85,3727.55,37.05,30.6675
4,0,0,31.38,54.5,73.7,0.0,0.0,620.85,3831.1425,40.3,30.8125
4,0,0,31.02,40.4,72.6,0.0,0.0,620.025,3916.24,42.55,30.905
4,0,0,31.4,32.9,65.1,0.0,0.0,623.025,3984.6825,41.225,31.1075
4,0,0,30.1,38.6,72.3,0.0,0.0,617.275,3986.2225,41.6,30.975
5,0,0,30.88,87.3,72.9,1.0,0.0,592.625,3932.7025,49.8,30.85
5,0,0,29.94,81.3,72.6,1.0,0.0,614.15,3901.82,60.025,30.58
5,0,0,30.14,86.5,71.9,1.0,0.0,597.45,3848.7275,73.425,30.265
5,0,0,29.0,86.3,76.3,1.0,0.0,610.575,3809.64,85.35,29.99
5,0,0,28.45,84.3,72.6,1.0,0.0,618.55,3765.45,84.6,29.3825
6,0,0,28.49,92.1,70.7,1.0,0.0,583.025,3689.23,87.3,29.02
6,0,0,27.77,76.0,73.3,1.0,0.0,593.05,3628.6325,84.675,28.4275
6,0,0,26.73,83.9,75.6,1.0,0.0,574.725,3579.7725,84.075,27.86
6,0,0,28.49,74.6,70.0,1.0,0.0,571.35,3548.5825,81.65,27.87
7,0,0,27.16,67.2,69.7,1.0,0.0,571.275,3514.1725,75.425,27.5375
7,0,0,26.22,86.2,67.8,1.0,0.0,567.925,3493.205,77.975,27.15
7,0,0,25.51,78.5,76.8,1.0,0.0,582.475,3468.5025,76.625,26.845
7,0,0,26.36,83.7,70.3,1.0,0.0,582.7,3442.2675,78.9,26.3125
8,0,0,26.13,81.0,71.8,1.0,0.0,599.325,3430.185,82.35,26.055
8,0,0,25.2,90.7,75.7,1.0,0.0,590.275,3413.4825,83.475,25.8
8,0,0,26.35,76.0,68.5,1.0,0.0,582.1,3408.095,82.85,26.01
8,0,0,24.91,90.0,69.8,1.0,0.0,585.875,3400.825,84.425,25.6475
8,0,0,24.91,60.9,68.0,1.0,0.0,585.95,3395.25,79.4,25.3425
9,0,0,25.77,78.4,68.7,1.0,0.0,588.275,3398.9925,76.325,25.485
9,0,0,25.22,88.9,67.9,1.0,0.0,566.325,3410.3325,79.55,25.2025
9,0,0,25.91,96.5,69.1,1.0,0.0,544.825,3430.915,81.175,25.4525
9,0,0,25.14,82.4,75.6,1.0,0.0,536.45,3443.965,86.55,25.51
10,0,0,25.13,37.7,62.5,0.0,0.0,551.1,3441.4775,76.375,25.35
10,0,0,24.97,56.3,70.8,0.0,0.0,576.45,3434.06,68.225,25.2875
10,0,0,24.63,43.7,62.8,0.0,0.0,590.95,3426.2525,55.025,24.9675
10,0,0,25.04,47.8,57.9,0.0,0.0,625.725,3468.76,46.375,24.9425
11,0,0,26.42,44.1,67.3,0.0,0.0,628.475,3549.4825,47.975,25.265
11,0,0,26.34,52.1,68.1,0.0,0.0,632.85,3658.9975,46.925,25.6075
11,0,0,27.04,37.9,62.1,0.0,0.0,648.025,3741.765,45.475,26.21
11,0,0,27.89,59.7,71.1,0.0,0.0,628.725,3761.0325,48.45,26.9225
11,0,0,27.66,45.2,68.7,0.0,0.0,629.725,3750.2325,48.725,27.2325
12,0,0,27.69,60.5,70.0,0.0,0.2,612.425,3685.81,50.825,27.57
12,0,0,29.13,44.5,63.4,0.0,0.2,600.05,3643.515,52.475,28.0925
12,0,0,28.67,59.9,64.9,0.0,0.2,589.075,3607.6,52.525,28.2875
12,0,0,27.8,58.8,67.1,0.0,0.2,565.0,3605.785,55.925,28.3225
1,0,0,28.3,37.1,68.8,0.0,0.2,591.525,3610.255,50.075,28.475
1,0,0,30.36,53.3,67.6,0.0,0.2,591.775,3617.52,52.275,28.7825
1,0,0,28.89,49.6,74.3,0.0,0.2,575.5,3632.65,49.7,28.8375
1,0,0,30.08,56.6,68.1,0.0,0.2,563.6,3599.22,49.15,29.4075
1,0,0,30.73,55.9,70.5,0.0,0.2,561.225,3587.5925,53.85,30.015
2,0,0,30.33,65.7,73.2,0.0,0.2,572.275,3576.2225,56.95,30.0075
2,0,0,31.15,43.2,70.3,0.0,0.2,573.95,3579.955,55.35,30.5725
2,0,0,30.59,55.3,69.6,0.0,0.2,590.375,3600.7075,55.025,30.7
2,0,0,32.44,51.9,74.6,0.0,0.2,584.0,3620.4725,54.025,31.1275
3,0,0,30.52,43.8,71.6,0.0,0.0,559.6,3638.215,48.55,31.175
3,0,0,31.15,39.6,67.8,0.0,0.0,562.65,3650.04,47.65,31.175
3,0,0,31.22,34.8,70.4,0.0,0.0,572.825,3674.8675,42.525,31.3325
3,0,0,31.24,38.2,62.5,0.0,0.0,576.175,3715.2475,39.1,31.0325
4,0,0,30.06,35.4,66.8,0.0,0.0,590.325,3794.1525,37.0,30.9175
4,0,0,29.82,40.5,65.6,0.0,0.0,599.2,3873.8175,37.225,30.585
4,0,0,30.0,51.6,64.9,0.0,0.0,607.075,3941.225,41.425,30.28
4,0,0,31.2,43.6,74.1,0.0,0.0,589.625,3952.6575,42.775,30.27
5,0,0,29.71,86.2,76.1,1.0,0.0,599.0,3908.4225,55.475,30.1825
5,0,0,30.2,82.1,68.9,1.0,0.0,592.45,3879.9075,65.875,30.2775
5,0,0,29.13,76.8,71.3,1.0,0.0,593.225,3850.9825,72.175,30.06
5,0,0,28.46,79.3,72.5,1.0,0.0,584.975,3820.2375,81.1,29.375
5,0,0,30.07,75.9,69.8,1.0,0.0,581.625,3789.8925,78.525,29.465
6,0,0,28.69,64.9,75.6,1.0,0.0,580.05,3721.6675,74.225,29.0875
6,0,0,28.83,88.9,71.8,1.0,0.0,576.325,3628.8125,77.25,29.0125
6,0,0,27.91,75.0,75.1,1.0,0.0,592.95,3559.795,76.175,28.875
6,0,0,27.22,87.4,74.2,1.0,0.0,591.05,3507.1525,79.05,28.1625
7,0,0,26.33,72.9,71.9,1.0,0.0,607.3,3475.6825,81.05,27.5725
7,0,0,26.48,98.8,74.5,1.0,0.0,589.65,3463.45,83.525,26.985
7,0,0,27.76,67.9,70.6,1.0,0.0,567.9,3445.735,81.75,26.9475
7,0,0,26.15,97.1,67.1,1.0,0.0,566.65,3439.295,84.175,26.68
8,0,0,25.46,85.7,72.9,1.0,0.0,557.425,3433.455,87.375,26.4625
8,0,0,25.79,78.8,73.1,1.0,0.0,583.675,3427.09,82.375,26.29
8,0,0,25.82,83.5,70.5,1.0,0.0,594.525,3428.2225,86.275,25.805
8,0,0,25.84,83.7,75.6,1.0,0.0,594.3,3415.03,82.925,25.7275
8,0,0,24.38,86.9,72.3,1.0,0.0,613.25,3403.92,83.225,25.4575
9,0,0,26.13,79.6,66.7,1.0,0.0,611.45,3379.16,83.425,25.5425
9,0,0,24.57,88.9,73.5,1.0,0.0,610.3,3361.8475,84.775,25.23
9,0,0,24.7,95.8,71.7,1.0,0.0,612.875,3356.405,87.8,24.945
9,0,0,25.13,82.5,69.1,1.0,0.0,591.45,3345.185,86.7,25.1325
10,0,0,24.64,40.0,65.0,0.0,0.0,585.475,3351.1925,76.8,24.76
10,0,0,26.02,53.6,65.4,0.0,0.0,587.5,3368.4875,67.975,25.1225
10,0,0,24.88,45.0,65.1,0.0,0.0,586.35,3377.1225,55.275,25.1675
10,0,0,25.86,43.3,61.9,0.0,0.0,616.175,3437.055,45.475,25.35
10,0,0,26.45,50.7,69.1,0.0,0.0,632.05,3498.2575,48.15,25.8025
11,0,0,26.43,53.0,66.1,0.0,0.0,666.25,3577.91,48.0,25.905
11,0,0,26.29,39.2,66.6,0.0,0.0,643.5,3639.0775,46.55,26.2575
11,0,0,26.77,46.8,61.9,0.0,0.0,620.275,3637.675,47.425,26.485
11,0,0,28.12,49.7,65.4,0.0,0.0,603.75,3627.16,47.175,26.9025
12,0,0,27.64,59.4,74.8,0.0,0.2,569.175,3587.6675,48.775,27.205
12,0,0,28.07,64.9,75.8,0.0,0.2,580.275,3580.965,55.2,27.65
12,0,0,28.65,60.8,66.3,0.0,0.2,573.525,3576.28,58.7,28.12
12,0,0,29.17,41.6,63.4,0.0,0.2,565.425,3606.3025,56.675,28.3825
1,0,0,29.1,52.3,63.0,0.0,0.2,567.5,3636.3725,54.9,28.7475
1,0,0,29.84,70.5,74.6,0.0,0.2,574.2,3650.3025,56.3,29.19
1,0,0,28.45,47.2,67.9,0.0,0.2,561.5,3668.0325,52.9,29.14
1,0,0,29.42,58.5,70.1,0.0,0.2,574.125,3639.75,57.125,29.2025
1,0,0,31.43,36.4,59.7,0.0,0.2,583.15,3610.18,53.15,29.785
2,0,0,30.9,56.8,70.0,0.0,0.2,585.7,3591.5025,49.725,30.05
2,0,0,30.75,50.2,70.6,0.0,0.2,597.0,3572.375,50.475,30.625
2,0,0,31.22,41.6,69.5,0.0,0.2,577.775,3575.27,46.25,31.075
2,0,0,30.4,41.9,61.6,0.0,0.2,569.6,3573.54,47.625,30.8175
3,0,0,31.47,48.8,69.8,0.0,0.0,557.375,3567.265,45.625,30.96
3,0,0,31.03,53.8,71.4,0.0,0.0,557.75,3579.03,46.525,31.03
3,0,0,30.81,36.9,66.2,0.0,0.0,566.225,3610.7975,45.35,30.9275
3,0,0,31.25,35.9,76.1,0.0,0.0,562.925,3674.5375,43.85,31.14
4,0,0,30.38,41.7,69.3,0.0,0.0,607.975,3753.6975,42.075,30.8675
4,0,0,30.55,47.5,72.2,0.0,0.0,633.775,3852.3875,40.5,30.7475
4,0,0,30.65,20.8,59.2,0.0,0.0,643.825,3928.765,36.475,30.7075
4,0,0,30.54,47.7,66.6,0.0,0.0,651.925,3941.1375,39.425,30.53
5,0,0,30.42,85.3,79.1,1.0,0.0,638.9,3907.6375,50.325,30.54
5,0,0,29.69,67.0,70.5,1.0,0.0,624.85,3867.9225,55.2,30.325
5,0,0,30.61,66.2,67.7,1.0,0.0,623.675,3843.42,66.55,30.315
5,0,0,29.47,83.9,69.8,1.0,0.0,625.975,3827.4425,75.6,30.0475
5,0,0,29.56,80.5,69.6,1.0,0.0,619.45,3817.565,74.4,29.8325
6,0,0,28.64,72.9,71.8,1.0,0.0,605.575,3763.835,75.875,29.57
6,0,0,28.23,83.0,73.0,1.0,0.0,592.65,3682.9675,80.075,28.975
6,0,0,28.23,74.5,69.9,1.0,0.0,597.625,3619.03,77.725,28.665
6,0,0,27.66,82.0,73.5,1.0,0.0,584.925,3560.4225,78.1,28.19
7,0,0,26.82,74.6,68.7,1.0,0.0,588.2,3508.4825,78.525,27.735
7,0,0,27.19,93.4,77.3,1.0,0.0,583.925,3469.52,81.125,27.475
7,0,0,26.36,82.9,69.9,1.0,0.0,571.75,3438.085,83.225,27.0075
7,0,0,25.61,80.0,62.7,1.0,0.0,568.175,3422.4,82.725,26.495
7,0,0,25.75,73.1,66.1,1.0,0.0,565.675,3406.18,82.35,26.2275
8,0,0,26.02,77.1,69.3,1.0,0.0,549.975,3393.9875,78.275,25.935
8,0,0,26.08,85.2,73.0,1.0,0.0,553.125,3391.3425,78.85,25.865
8,0,0,25.22,91.8,75.1,1.0,0.0,548.075,3385.9575,81.8,25.7675
8,0,0,24.75,80.6,66.3,1.0,0.0,547.675,3400.1075,83.675,25.5175
9,0,0,25.04,101.3,72.5,1.0,0.0,573.125,3396.9825,89.725,25.2725
9,0,0,26.14,76.6,70.3,1.0,0.0,572.375,3393.01,87.575,25.2875
9,0,0,25.23,81.6,71.1,1.0,0.0,575.95,3386.9975,85.025,25.29
9,0,0,25.47,77.1,70.6,1.0,0.0,580.55,3382.9775,84.15,25.47
10,0,0,25.72,31.9,65.5,0.0,0.0,600.825,3381.9475,66.8,25.64
10,0,0,25.63,47.7,64.2,0.0,0.0,605.35,3387.915,59.575,25.5125
10,0,0,25.43,43.7,67.8,0.0,0.0,609.3,3416.2925,50.1,25.5625
10,0,0,24.85,40.2,59.9,0.0,0.0,636.4,3470.37,40.875,25.4075
10,0,0,26.31,40.7,59.8,0.0,0.0,604.675,3548.3275,43.075,25.555
11,0,0,25.99,42.7,65.3,0.0,0.0,610.95,3627.2325,41.825,25.645
11,0,0,25.69,37.8,71.3,0.0,0.0,608.25,3664.95,40.35,25.71
11,0,0,26.75,36.0,66.7,0.0,0.0,587.85,3659.8725,39.3,26.185
11,0,0,27.77,55.4,64.3,0.0,0.0,598.025,3627.3175,42.975,26.55
12,0,0,26.92,61.9,61.8,0.0,0.2,577.35,3579.96,47.775,26.7825
12,0,0,26.26,51.9,61.8,0.0,0.2,565.95,3565.6175,51.3,26.925
12,0,0,28.0,33.8,68.5,0.0,0.2,559.6,3558.2525,50.75,27.2375
12,0,0,28.58,53.6,67.0,0.0,0.2,568.3,3584.2975,50.3,27.44
