date,month,region,spice,market_price_LKR,qty_sold_kg,temp_c,rainfall_mm,humidity_pct,monsoon_sw_flag,monsoon_ne_flag,qty_sold_kg_4w_ma,market_price_LKR_4w_ma,rainfall_mm_4w_ma,temp_c_4w_ma
2018-07-23,7,Galle,Cardamom,3430.38,630.6,26.86,76.4,65.7,1,0,600.975,3449.6225,78.55,26.885
2018-07-30,7,Galle,Cardamom,3385.2,592.9,25.56,85,68.8,1,0,607.8,3419.8425,78.375,26.4425
2018-08-06,8,Galle,Cardamom,3391.38,573.6,24.96,82.2,68,1,0,595.825,3409.555,79.125,26.0175
2018-08-13,8,Galle,Cardamom,3393.5,553.3,25.69,76.6,74.4,1,0,587.6,3400.115,80.05,25.7675
2018-08-20,8,Galle,Cardamom,3364.7,598.1,25.02,79.9,64.5,1,0,579.475,3383.695,80.925,25.3075
2018-08-27,8,Galle,Cardamom,3352.9,559,24.87,75.9,63.1,1,0,571,3375.62,78.65,25.135
2018-09-03,9,Galle,Cardamom,3362.91,589.4,25.28,79.9,66.9,1,0,574.95,3368.5025,78.075,25.215
2018-09-10,9,Galle,Cardamom,3365.42,614.2,25.73,76.6,72.7,1,0,590.175,3361.4825,78.075,25.225
2018-09-17,9,Galle,Cardamom,3368.08,515.8,24.92,83,67.2,1,0,569.6,3362.3275,78.85,25.2
2018-09-24,9,Galle,Cardamom,3342.75,544.6,24.66,81.8,72.8,1,0,566,3359.79,80.325,25.1475
2018-10-01,10,Galle,Cardamom,3354.64,573.4,24.19,35.2,67,0,0,562,3357.7225,69.15,24.875
2018-10-08,10,Galle,Cardamom,3361.61,554.6,25.05,45.4,59.7,0,0,547.1,3356.77,61.35,24.705
2018-10-15,10,Galle,Cardamom,3359.94,642.3,25.87,32.4,71.1,0,0,578.725,3354.735,48.7,24.9425
2018-10-22,10,Galle,Cardamom,3373.91,539.4,25.58,39,63.3,0,0,577.425,3362.525,38,25.1725
2018-10-29,10,Galle,Cardamom,3577.53,695.1,26.47,41.1,65.2,0,0,607.85,3418.2475,39.475,25.7425
2018-11-05,11,Galle,Cardamom,3689.09,637.7,26.74,52.6,61.1,0,0,628.625,3500.1175,41.275,26.165
2018-11-12,11,Galle,Cardamom,3742.83,685.1,26.49,38.9,67.7,0,0,639.325,3595.84,42.9,26.32
2018-11-19,11,Galle,Cardamom,3670.35,624.7,27.48,44.8,64.3,0,0,660.65,3669.95,44.35,26.795
2018-11-26,11,Galle,Cardamom,3599.3,563.5,27.12,44.5,66,0,0,627.75,3675.3925,45.2,26.9575
2018-12-03,12,Galle,Cardamom,3610.66,593,27.93,51.4,75.1,0,0.2,616.575,3655.785,44.9,27.255
2018-12-10,12,Galle,Cardamom,3584.76,589.5,28.34,59.9,69.9,0,0.2,592.675,3616.2675,50.15,27.7175
2018-12-17,12,Galle,Cardamom,3624,596.2,28.1,49.4,69.4,0,0.2,585.55,3604.68,51.3,27.8725
2018-12-24,12,Galle,Cardamom,3663.96,606,28.79,53.2,68.2,0,0.2,596.175,3620.845,53.475,28.29
2018-12-31,12,Galle,Cardamom,3720.57,539.8,29.49,48,69.1,0,0.2,582.875,3648.3225,52.625,28.68
2019-01-07,1,Galle,Cardamom,3705.36,579.9,29.95,47.6,77.2,0,0.2,580.475,3678.4725,49.55,29.0825
2019-01-14,1,Galle,Cardamom,3693.76,490.2,28.71,61.2,68.6,0,0.2,553.975,3695.9125,52.5,29.235
2019-01-21,1,Galle,Cardamom,3697.68,568.7,29.65,48.6,69,0,0.2,544.65,3704.3425,51.35,29.45
2019-01-28,1,Galle,Cardamom,3671.83,583.5,30.35,56.1,70.2,0,0.2,555.575,3692.1575,53.375,29.665
2019-02-04,2,Galle,Cardamom,3685.15,525.7,32.11,60,70.5,0,0.2,542.025,3687.105,56.475,30.205
2019-02-11,2,Galle,Cardamom,3665.44,505.6,30.83,51.1,73.7,0,0.2,545.875,3680.025,53.95,30.735
2019-02-18,2,Galle,Cardamom,3627.91,563.9,30.59,58.8,70.4,0,0.2,544.675,3662.5825,56.5,30.97
2019-02-25,2,Galle,Cardamom,3609.98,574.2,32.42,54.6,72.9,0,0.2,542.35,3647.12,56.125,31.4875
2019-03-04,3,Galle,Cardamom,3567,617.3,30.31,59.9,69.9,0,0,565.25,3617.5825,56.1,31.0375
2019-03-11,3,Galle,Cardamom,3551.08,585.7,30.28,50.6,70.7,0,0,585.275,3588.9925,55.975,30.9
2019-03-18,3,Galle,Cardamom,3591.25,558.8,31.57,35.2,58.9,0,0,584,3579.8275,50.075,31.145
2019-03-25,3,Galle,Cardamom,3727.22,644.3,29.91,24.8,69.4,0,0,601.525,3609.1375,42.625,30.5175
2019-04-01,4,Galle,Cardamom,3851.7,639.9,31.13,39.1,67.5,0,0,607.175,3680.3125,37.425,30.7225
2019-04-08,4,Galle,Cardamom,3953.72,700.1,30.8,49.6,70.3,0,0,635.775,3780.9725,37.175,30.8525
2019-04-15,4,Galle,Cardamom,3989.45,589.3,30.68,40.6,64.3,0,0,643.4,3880.5225,38.525,30.63
2019-04-22,4,Galle,Cardamom,3995.49,680.1,30.3,32.4,72.6,0,0,652.35,3947.59,40.425,30.7275
2019-04-29,4,Galle,Cardamom,3888.1,583.5,30.45,26.2,63.5,0,0,638.25,3956.69,37.2,30.5575
2019-05-06,5,Galle,Cardamom,3777.47,612.5,30.06,92,75.9,1,0,616.35,3912.6275,47.8,30.3725
2019-05-13,5,Galle,Cardamom,3848.34,586.8,30.42,72.3,74.5,1,0,615.725,3877.35,55.725,30.3075
2019-05-20,5,Galle,Cardamom,3736.98,569.2,28.95,78.2,65.1,1,0,588,3812.7225,67.175,29.97
2019-05-27,5,Galle,Cardamom,3608.08,650.3,28.74,67.2,71,1,0,604.7,3742.7175,77.425,29.5425
2019-06-03,6,Galle,Cardamom,3616.42,600.8,29.08,80.2,73.1,1,0,601.775,3702.455,74.475,29.2975
2019-06-10,6,Galle,Cardamom,3645.29,577.8,29.18,80.3,75.1,1,0,599.525,3651.6925,76.475,28.9875
2019-06-17,6,Galle,Cardamom,3590.63,592.2,28.16,74.8,71.7,1,0,605.275,3615.105,75.625,28.79
2019-06-24,6,Galle,Cardamom,3550.59,647.3,28.27,82.5,70.4,1,0,604.525,3600.7325,79.45,28.6725
2019-07-01,7,Galle,Cardamom,3454.33,586.3,27.08,93.1,69.6,1,0,600.9,3560.21,82.675,28.1725
2019-07-08,7,Galle,Cardamom,3438.13,575,27.3,90.8,65,1,0,600.2,3508.42,85.3,27.7025
2019-07-15,7,Galle,Cardamom,3411.75,557.5,27.35,71.7,68.7,1,0,591.525,3463.7,84.525,27.5
2019-07-22,7,Galle,Cardamom,3424.24,616.6,26.19,80.4,75.5,1,0,583.85,3432.1125,84,26.98
2019-07-29,7,Galle,Cardamom,3406.37,571.1,26.23,83.9,65.6,1,0,580.05,3420.1225,81.7,26.7675
2019-08-05,8,Galle,Cardamom,3409.37,625.5,25.33,70.2,62.1,1,0,592.675,3412.9325,76.55,26.275
2019-08-12,8,Galle,Cardamom,3352.67,610.6,25.62,84.4,73.5,1,0,605.95,3398.1625,79.725,25.8425
2019-08-19,8,Galle,Cardamom,3358.54,572,25.7,78.6,69.4,1,0,594.8,3381.7375,79.275,25.72
2019-08-26,8,Galle,Cardamom,3364.14,571.4,25.3,102.1,66.6,1,0,594.875,3371.18,83.825,25.4875
2019-09-02,9,Galle,Cardamom,3390.75,576.7,24.58,79.3,69.8,1,0,582.675,3366.525,86.1,25.3
2019-09-09,9,Galle,Cardamom,3403.66,542.4,24.49,85.8,72,1,0,565.625,3379.2725,86.45,25.0175
2019-09-16,9,Galle,Cardamom,3410.82,560.2,25.22,78.8,65.9,1,0,562.675,3392.3425,86.5,24.8975
2019-09-23,9,Galle,Cardamom,3407.82,519.7,25.44,87.9,69.2,1,0,549.75,3403.2625,82.95,24.9325
2019-09-30,9,Galle,Cardamom,3351.06,604.5,25.11,82.9,71.5,1,0,556.7,3393.34,83.85,25.065
2019-10-07,10,Galle,Cardamom,3389.3,609.3,25.8,28.5,67.6,0,0,573.425,3389.75,69.525,25.3925
2019-10-14,10,Galle,Cardamom,3366.73,698.3,24.43,31.3,61,0,0,607.95,3378.7275,57.65,25.195
2019-10-21,10,Galle,Cardamom,3349.32,662.6,25.47,42.5,64,0,0,643.675,3364.1025,46.3,25.2025
2019-10-28,10,Galle,Cardamom,3505.3,655.3,25.8,42.7,59.5,0,0,656.375,3402.6625,36.25,25.375
2019-11-04,11,Galle,Cardamom,3589.49,676.3,26.54,50.5,73,0,0,673.125,3452.71,41.75,25.56
2019-11-11,11,Galle,Cardamom,3748.61,631.7,26.12,42.2,67.5,0,0,656.475,3548.18,44.475,25.9825
2019-11-18,11,Galle,Cardamom,3625.52,630.9,26.42,40.5,65.3,0,0,648.55,3617.23,43.975,26.22
2019-11-25,11,Galle,Cardamom,3578.29,568.3,27.17,44.6,71.8,0,0,626.8,3635.4775,44.45,26.5625
2019-12-02,12,Galle,Cardamom,3607.89,542.4,27.49,48.3,60.8,0,0.2,593.325,3640.0775,43.9,26.8
2019-12-09,12,Galle,Cardamom,3583.16,608.3,28.03,55.5,66.8,0,0.2,587.475,3598.715,47.225,27.2775
2019-12-16,12,Galle,Cardamom,3536.82,582.8,27.51,56.7,70.8,0,0.2,575.45,3576.54,51.275,27.55
2019-12-23,12,Galle,Cardamom,3575.57,565.4,28.93,53.2,67.7,0,0.2,574.725,3575.86,53.425,27.99
2019-12-30,12,Galle,Cardamom,3704.74,584.2,28.98,49.3,70.1,0,0.2,585.175,3600.0725,53.675,28.3625
2020-01-06,1,Galle,Cardamom,3651.19,632.5,29.55,60.8,70.3,0,0.2,591.225,3617.08,55,28.7425
2020-01-13,1,Galle,Cardamom,3640.97,639.4,29.47,54.4,69.3,0,0.2,605.375,3643.1175,54.425,29.2325
2020-01-20,1,Galle,Cardamom,3621.5,538.1,29.6,65,67,0,0.2,598.55,3654.6,57.375,29.4
2020-01-27,1,Galle,Cardamom,3576.79,595.6,29.65,41.2,65.8,0,0.2,601.4,3622.6125,55.35,29.5675
2020-02-03,2,Galle,Cardamom,3575.42,565.5,30.93,47.7,73.6,0,0.2,584.65,3603.67,52.075,29.9125
2020-02-10,2,Galle,Cardamom,3591.53,586.8,29.6,50.1,67.2,0,0.2,571.5,3591.31,51,29.945
2020-02-17,2,Galle,Cardamom,3616.48,571.5,30.14,47.1,72.2,0,0.2,579.85,3590.055,46.525,30.08
2020-02-24,2,Galle,Cardamom,3597.61,621.4,30.62,45.9,63.7,0,0.2,586.3,3595.26,47.7,30.3225
2020-03-02,3,Galle,Cardamom,3595.76,561.1,30.51,49.8,62.7,0,0,585.2,3600.345,48.225,30.2175
2020-03-09,3,Galle,Cardamom,3643,536.9,31.51,43.6,73.9,0,0,572.725,3613.2125,46.6,30.695
2020-03-16,3,Galle,Cardamom,3623.7,569.3,30.95,50.2,68.1,0,0,572.175,3615.0175,47.375,30.8975
2020-03-23,3,Galle,Cardamom,3808.29,599.4,31.11,46.7,71.4,0,0,566.675,3667.6875,47.575,31.02
2020-03-30,3,Galle,Cardamom,3887.83,585.1,30.73,38.5,71.2,0,0,572.675,3740.705,44.75,31.075
2020-04-06,4,Galle,Cardamom,3982.92,684.6,31.21,36,71.6,0,0,609.6,3825.685,42.85,31
2020-04-13,4,Galle,Cardamom,4046.79,619.5,30.63,47.5,67.6,0,0,622.15,3931.4575,42.175,30.92
2020-04-20,4,Galle,Cardamom,4116.62,597.4,30.91,34.5,63.8,0,0,621.65,4008.54,39.125,30.87
2020-04-27,4,Galle,Cardamom,3938.01,578.2,29.85,32.5,61.7,0,0,619.925,4021.085,37.625,30.65
2020-05-04,5,Galle,Cardamom,3869.29,579.9,29,84.2,69.1,1,0,593.75,3992.6775,49.675,30.0975
2020-05-11,5,Galle,Cardamom,3907.82,617.3,30.38,82.4,75.2,1,0,593.2,3957.935,58.4,30.035
2020-05-18,5,Galle,Cardamom,3761.57,710.8,29.43,94.4,74.1,1,0,621.55,3869.1725,73.375,29.665
2020-05-25,5,Galle,Cardamom,3703.1,667.2,29.11,78.5,75,1,0,643.8,3810.445,84.875,29.48
2020-06-01,6,Galle,Cardamom,3613.4,577.2,28.39,68.8,66,1,0,643.125,3746.4725,81.025,29.3275
2020-06-08,6,Galle,Cardamom,3600.5,603.2,29.38,82,68.9,1,0,639.6,3669.6425,80.925,29.0775
2020-06-15,6,Galle,Cardamom,3524.25,589.6,27.67,73.7,73.6,1,0,609.3,3610.3125,75.75,28.6375
2020-06-22,6,Galle,Cardamom,3528.73,538.7,28.76,81.7,75.2,1,0,577.175,3566.72,76.55,28.55
2020-06-29,6,Galle,Cardamom,3504.25,615.9,26.54,88.1,65.2,1,0,586.85,3539.4325,81.375,28.0875
2020-07-06,7,Galle,Cardamom,3507.6,573.3,26.93,79,62.2,1,0,579.375,3516.2075,80.625,27.475
2020-07-13,7,Galle,Cardamom,3491.85,570.9,27,83.4,70.1,1,0,574.7,3508.1075,83.05,27.3075
2020-07-20,7,Galle,Cardamom,3476.86,617,25.52,82.8,71.8,1,0,594.275,3495.14,83.325,26.4975
2020-07-27,7,Galle,Cardamom,3410.73,548.3,25.66,81.9,71.5,1,0,577.375,3471.76,81.775,26.2775
2020-08-03,8,Galle,Cardamom,3412.28,628.6,25.33,77.9,63.1,1,0,591.2,3447.93,81.5,25.8775
2020-08-10,8,Galle,Cardamom,3427.57,551.1,26.35,89.4,76.8,1,0,586.25,3431.86,83,25.715
2020-08-17,8,Galle,Cardamom,3416.13,568.1,26.21,80,74.5,1,0,574.025,3416.6775,82.3,25.8875
2020-08-24,8,Galle,Cardamom,3388.71,548.7,24.87,77.3,68.9,1,0,574.125,3411.1725,81.15,25.69
2020-08-31,8,Galle,Cardamom,3419.82,504.9,24.56,85.4,69.5,1,0,543.2,3413.0575,83.025,25.4975
2020-09-07,9,Galle,Cardamom,3369.84,585.7,24.68,79.5,66.4,1,0,551.85,3398.625,80.55,25.08
2020-09-14,9,Galle,Cardamom,3367.22,578.1,25.29,88.2,68.6,1,0,554.35,3386.3975,82.6,24.85
2020-09-21,9,Galle,Cardamom,3399.21,571.8,24.79,74.7,72.5,1,0,560.125,3389.0225,81.95,24.83
2020-09-28,9,Galle,Cardamom,3418.5,563.7,24.96,84.5,67.1,1,0,574.825,3388.6925,81.725,24.93
2020-10-05,10,Galle,Cardamom,3426.45,637.6,24.84,23.9,62.6,0,0,587.8,3402.845,67.825,24.97
2020-10-12,10,Galle,Cardamom,3475.04,675.3,24.96,45.8,67.1,0,0,612.1,3429.8,57.225,24.8875
2020-10-19,10,Galle,Cardamom,3453.04,616.9,25.7,35.7,60.2,0,0,623.375,3443.2575,47.475,25.115
2020-10-26,10,Galle,Cardamom,3619.2,639.6,26.15,48.3,65.9,0,0,642.35,3493.4325,38.425,25.4125
2020-11-02,11,Galle,Cardamom,3745.24,632.9,27,41.1,65.7,0,0,641.175,3573.13,42.725,25.9525
2020-11-09,11,Galle,Cardamom,3824.8,626.4,26.06,44.3,62.3,0,0,628.95,3660.57,42.35,26.2275
2020-11-16,11,Galle,Cardamom,3751.01,562.9,26.27,31.7,62.1,0,0,615.45,3735.0625,41.35,26.37
2020-11-23,11,Galle,Cardamom,3677.03,594.5,26.97,39.2,73.8,0,0,604.175,3749.52,39.075,26.575
2020-11-30,11,Galle,Cardamom,3651.01,598.6,26.86,34.2,66.7,0,0,595.6,3725.9625,37.35,26.54
2020-12-07,12,Galle,Cardamom,3597.09,575.8,28.61,46.5,70.8,0,0.2,582.95,3669.035,37.9,27.1775
2020-12-14,12,Galle,Cardamom,3596.9,583.1,28.26,54.8,68.6,0,0.2,588,3630.5075,43.675,27.675
2020-12-21,12,Galle,Cardamom,3562.3,624.7,28.45,73.4,65.5,0,0.2,595.55,3601.825,52.225,28.045
2020-12-28,12,Galle,Cardamom,3701.47,636.2,28.15,54.1,68.5,0,0.2,604.95,3614.44,57.2,28.3675
2021-01-04,1,Galle,Cardamom,3621.32,536.3,29.79,35.2,66,0,0.2,595.075,3620.4975,54.375,28.6625
2021-01-11,1,Galle,Cardamom,3624.52,601.1,29.57,51.1,63,0,0.2,599.575,3627.4025,53.45,28.99
2021-01-18,1,Galle,Cardamom,3610.83,531.4,29.41,56.6,66,0,0.2,576.25,3639.535,49.25,29.23
2021-01-25,1,Galle,Cardamom,3583,508.3,28.93,56.7,70.2,0,0.2,544.275,3609.9175,49.9,29.425
2021-02-01,2,Galle,Cardamom,3571.59,516.9,29.99,38.8,69.6,0,0.2,539.425,3597.485,50.8,29.475
2021-02-08,2,Galle,Cardamom,3597.51,585.6,30.86,50.6,70.2,0,0.2,535.55,3590.7325,50.675,29.7975
2021-02-15,2,Galle,Cardamom,3619.17,571.9,30.53,55.2,72.1,0,0.2,545.675,3592.8175,50.325,30.0775
2021-02-22,2,Galle,Cardamom,3622.28,579.8,31.64,41.2,65.4,0,0.2,563.55,3602.6375,46.45,30.755
2021-03-01,3,Galle,Cardamom,3592.99,571.5,30.93,43.3,73.5,0,0,577.2,3607.9875,47.575,30.99
2021-03-08,3,Galle,Cardamom,3609.86,579.2,30.8,41.5,65.1,0,0,575.6,3611.075,45.3,30.975
2021-03-15,3,Galle,Cardamom,3675.52,591.5,30.65,31.4,64.7,0,0,580.5,3625.1625,39.35,31.005
2021-03-22,3,Galle,Cardamom,3740.69,624.7,30.59,38.2,59.7,0,0,591.725,3654.765,38.6,30.7425
2021-03-29,3,Galle,Cardamom,3884.13,604,30.63,37.1,67.5,0,0,599.85,3727.55,37.05,30.6675
2021-04-05,4,Galle,Cardamom,4024.23,663.2,31.38,54.5,73.7,0,0,620.85,3831.1425,40.3,30.8125
2021-04-12,4,Galle,Cardamom,4015.91,588.2,31.02,40.4,72.6,0,0,620.025,3916.24,42.55,30.905
2021-04-19,4,Galle,Cardamom,4014.46,636.7,31.4,32.9,65.1,0,0,623.025,3984.6825,41.225,31.1075
2021-04-26,4,Galle,Cardamom,3890.29,581,30.1,38.6,72.3,0,0,617.275,3986.2225,41.6,30.975
2021-05-03,5,Galle,Cardamom,3810.15,564.6,30.88,87.3,72.9,1,0,592.625,3932.7025,49.8,30.85
2021-05-10,5,Galle,Cardamom,3892.38,674.3,29.94,81.3,72.6,1,0,614.15,3901.82,60.025,30.58
2021-05-17,5,Galle,Cardamom,3802.09,569.9,30.14,86.5,71.9,1,0,597.45,3848.7275,73.425,30.265
2021-05-24,5,Galle,Cardamom,3733.94,633.5,29,86.3,76.3,1,0,610.575,3809.64,85.35,29.99
2021-05-31,5,Galle,Cardamom,3633.39,596.5,28.45,84.3,72.6,1,0,618.55,3765.45,84.6,29.3825
2021-06-07,6,Galle,Cardamom,3587.5,532.2,28.49,92.1,70.7,1,0,583.025,3689.23,87.3,29.02
2021-06-14,6,Galle,Cardamom,3559.7,610,27.77,76,73.3,1,0,593.05,3628.6325,84.675,28.4275
2021-06-21,6,Galle,Cardamom,3538.5,560.2,26.73,83.9,75.6,1,0,574.725,3579.7725,84.075,27.86
2021-06-28,6,Galle,Cardamom,3508.63,583,28.49,74.6,70,1,0,571.35,3548.5825,81.65,27.87
2021-07-05,7,Galle,Cardamom,3449.86,531.9,27.16,67.2,69.7,1,0,571.275,3514.1725,75.425,27.5375
2021-07-12,7,Galle,Cardamom,3475.83,596.6,26.22,86.2,67.8,1,0,567.925,3493.205,77.975,27.15
2021-07-19,7,Galle,Cardamom,3439.69,618.4,25.51,78.5,76.8,1,0,582.475,3468.5025,76.625,26.845
2021-07-26,7,Galle,Cardamom,3403.69,583.9,26.36,83.7,70.3,1,0,582.7,3442.2675,78.9,26.3125
2021-08-02,8,Galle,Cardamom,3401.53,598.4,26.13,81,71.8,1,0,599.325,3430.185,82.35,26.055
2021-08-09,8,Galle,Cardamom,3409.02,560.4,25.2,90.7,75.7,1,0,590.275,3413.4825,83.475,25.8
2021-08-16,8,Galle,Cardamom,3418.14,585.7,26.35,76,68.5,1,0,582.1,3408.095,82.85,26.01
2021-08-23,8,Galle,Cardamom,3374.61,599,24.91,90,69.8,1,0,585.875,3400.825,84.425,25.6475
2021-08-30,8,Galle,Cardamom,3379.23,598.7,24.91,60.9,68,1,0,585.95,3395.25,79.4,25.3425
2021-09-06,9,Galle,Cardamom,3423.99,569.7,25.77,78.4,68.7,1,0,588.275,3398.9925,76.325,25.485
2021-09-13,9,Galle,Cardamom,3463.5,497.9,25.22,88.9,67.9,1,0,566.325,3410.3325,79.55,25.2025
2021-09-20,9,Galle,Cardamom,3456.94,513,25.91,96.5,69.1,1,0,544.825,3430.915,81.175,25.4525
2021-09-27,9,Galle,Cardamom,3431.43,565.2,25.14,82.4,75.6,1,0,536.45,3443.965,86.55,25.51
2021-10-04,10,Galle,Cardamom,3414.04,628.3,25.13,37.7,62.5,0,0,551.1,3441.4775,76.375,25.35
2021-10-11,10,Galle,Cardamom,3433.83,599.3,24.97,56.3,70.8,0,0,576.45,3434.06,68.225,25.2875
2021-10-18,10,Galle,Cardamom,3425.71,571,24.63,43.7,62.8,0,0,590.95,3426.2525,55.025,24.9675
2021-10-25,10,Galle,Cardamom,3601.46,704.3,25.04,47.8,57.9,0,0,625.725,3468.76,46.375,24.9425
2021-11-01,11,Galle,Cardamom,3736.93,639.3,26.42,44.1,67.3,0,0,628.475,3549.4825,47.975,25.265
2021-11-08,11,Galle,Cardamom,3871.89,616.8,26.34,52.1,68.1,0,0,632.85,3658.9975,46.925,25.6075
2021-11-15,11,Galle,Cardamom,3756.78,631.7,27.04,37.9,62.1,0,0,648.025,3741.765,45.475,26.21
2021-11-22,11,Galle,Cardamom,3678.53,627.1,27.89,59.7,71.1,0,0,628.725,3761.0325,48.45,26.9225
2021-11-29,11,Galle,Cardamom,3693.73,643.3,27.66,45.2,68.7,0,0,629.725,3750.2325,48.725,27.2325
2021-12-06,12,Galle,Cardamom,3614.2,547.6,27.69,60.5,70,0,0.2,612.425,3685.81,50.825,27.57
2021-12-13,12,Galle,Cardamom,3587.6,582.2,29.13,44.5,63.4,0,0.2,600.05,3643.515,52.475,28.0925
2021-12-20,12,Galle,Cardamom,3534.87,583.2,28.67,59.9,64.9,0,0.2,589.075,3607.6,52.525,28.2875
2021-12-27,12,Galle,Cardamom,3686.47,547,27.8,58.8,67.1,0,0.2,565,3605.785,55.925,28.3225
2022-01-03,1,Galle,Cardamom,3632.08,653.7,28.3,37.1,68.8,0,0.2,591.525,3610.255,50.075,28.475
2022-01-10,1,Galle,Cardamom,3616.66,583.2,30.36,53.3,67.6,0,0.2,591.775,3617.52,52.275,28.7825
2022-01-17,1,Galle,Cardamom,3595.39,518.1,28.89,49.6,74.3,0,0.2,575.5,3632.65,49.7,28.8375
2022-01-24,1,Galle,Cardamom,3552.75,499.4,30.08,56.6,68.1,0,0.2,563.6,3599.22,49.15,29.4075
2022-01-31,1,Galle,Cardamom,3585.57,644.2,30.73,55.9,70.5,0,0.2,561.225,3587.5925,53.85,30.015
2022-02-07,2,Galle,Cardamom,3571.18,627.4,30.33,65.7,73.2,0,0.2,572.275,3576.2225,56.95,30.0075
2022-02-14,2,Galle,Cardamom,3610.32,524.8,31.15,43.2,70.3,0,0.2,573.95,3579.955,55.35,30.5725
2022-02-21,2,Galle,Cardamom,3635.76,565.1,30.59,55.3,69.6,0,0.2,590.375,3600.7075,55.025,30.7
2022-02-28,2,Galle,Cardamom,3664.63,618.7,32.44,51.9,74.6,0,0.2,584,3620.4725,54.025,31.1275
2022-03-07,3,Galle,Cardamom,3642.15,529.8,30.52,43.8,71.6,0,0,559.6,3638.215,48.55,31.175
2022-03-14,3,Galle,Cardamom,3657.62,537,31.15,39.6,67.8,0,0,562.65,3650.04,47.65,31.175
2022-03-21,3,Galle,Cardamom,3735.07,605.8,31.22,34.8,70.4,0,0,572.825,3674.8675,42.525,31.3325
2022-03-28,3,Galle,Cardamom,3826.15,632.1,31.24,38.2,62.5,0,0,576.175,3715.2475,39.1,31.0325
